date,amount,recovered,lastUpdate
2020-02-12T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-13T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-14T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-15T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-16T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-17T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-18T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-19T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-20T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-21T00:00:00.000Z,1,0,2020-07-14T07:14:06.710Z
2020-02-22T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-23T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-24T00:00:00.000Z,1,0,2020-07-14T07:14:06.710Z
2020-02-25T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-26T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-02-27T00:00:00.000Z,1,0,2020-07-14T07:14:06.710Z
2020-02-28T00:00:00.000Z,3,0,2020-07-14T07:14:06.710Z
2020-02-29T00:00:00.000Z,0,0,2020-07-14T07:14:06.710Z
2020-03-01T00:00:00.000Z,1,1,2020-07-14T07:14:06.710Z
2020-03-02T00:00:00.000Z,5,0,2020-07-14T07:14:06.710Z
2020-03-03T00:00:00.000Z,3,1,2020-07-14T07:14:06.710Z
2020-03-04T00:00:00.000Z,0,1,2020-07-14T07:14:06.710Z
2020-03-05T00:00:00.000Z,2,0,2020-07-14T07:14:06.710Z
2020-03-06T00:00:00.000Z,4,0,2020-07-14T07:14:06.710Z
2020-03-07T00:00:00.000Z,4,0,2020-07-14T07:14:06.710Z
2020-03-08T00:00:00.000Z,9,0,2020-07-14T07:14:06.710Z
2020-03-09T00:00:00.000Z,4,0,2020-07-14T07:14:06.710Z
2020-03-10T00:00:00.000Z,33,0,2020-07-14T07:14:06.710Z
2020-03-11T00:00:00.000Z,20,0,2020-07-14T07:14:06.710Z
2020-03-12T00:00:00.000Z,21,0,2020-07-14T07:14:06.710Z
2020-03-13T00:00:00.000Z,36,1,2020-07-14T07:14:06.710Z
2020-03-14T00:00:00.000Z,29,0,2020-07-14T07:14:06.710Z
2020-03-15T00:00:00.000Z,38,0,2020-07-14T07:14:06.710Z
2020-03-16T00:00:00.000Z,73,0,2020-07-14T07:14:06.710Z
2020-03-17T00:00:00.000Z,94,4,2020-07-14T07:14:06.710Z
2020-03-18T00:00:00.000Z,118,5,2020-07-14T07:14:06.710Z
2020-03-19T00:00:00.000Z,135,10,2020-07-14T07:14:06.710Z
2020-03-20T00:00:00.000Z,168,3,2020-07-14T07:14:06.710Z
2020-03-21T00:00:00.000Z,210,4,2020-07-14T07:14:06.710Z
2020-03-22T00:00:00.000Z,254,7,2020-07-14T07:14:06.710Z
2020-03-23T00:00:00.000Z,351,14,2020-07-14T07:14:06.710Z
2020-03-24T00:00:00.000Z,423,7,2020-07-14T07:14:06.710Z
2020-03-25T00:00:00.000Z,425,12,2020-07-14T07:14:06.710Z
2020-03-26T00:00:00.000Z,520,17,2020-07-14T07:14:06.710Z
