,S,E,I,R,country,date
0,37742154,0.0,0.0,0.0,canada,2020-02-10
1,37742154,0.0,0.0,1.0,canada,2020-02-11
2,37742154,0.0,0.0,1.0,canada,2020-02-12
3,37742154,0.0,0.0,1.0,canada,2020-02-13
4,37742154,0.0,0.0,1.0,canada,2020-02-14
5,37742154,0.0,0.0,1.0,canada,2020-02-15
6,37742154,0.0,0.0,1.0,canada,2020-02-16
7,37742154,0.0,0.0,1.0,canada,2020-02-17
8,37742154,0.0,0.0,1.0,canada,2020-02-18
9,37742154,0.0,0.0,1.0,canada,2020-02-19
10,37742154,0.0,0.0,2.0,canada,2020-02-20
11,37742154,0.0,0.0,3.0,canada,2020-02-21
12,37742154,0.0,0.0,3.0,canada,2020-02-22
13,37742154,0.0,0.0,3.0,canada,2020-02-23
14,37742154,0.0,0.0,3.0,canada,2020-02-24
15,37742154,0.0,0.0,3.0,canada,2020-02-25
16,37742154,0.0,0.0,3.0,canada,2020-02-26
17,37742154,0.0,0.0,3.0,canada,2020-02-27
18,37742154,0.0,12.0,3.0,canada,2020-02-28
19,37742154,0.0,12.0,4.0,canada,2020-02-29
20,37742154,0.0,20.0,4.0,canada,2020-03-01
21,37742154,0.0,20.0,7.0,canada,2020-03-02
22,37742154,12.0,23.0,7.0,canada,2020-03-03
23,37742154,12.0,26.0,7.0,canada,2020-03-04
24,37742154,20.0,29.0,8.0,canada,2020-03-05
25,37742154,20.0,44.0,8.0,canada,2020-03-06
26,37742154,23.0,52.0,8.0,canada,2020-03-07
27,37742154,26.0,56.0,8.0,canada,2020-03-08
28,37742154,29.0,68.0,9.0,canada,2020-03-09
29,37742154,44.0,85.0,9.0,canada,2020-03-10
30,37742154,52.0,99.0,10.0,canada,2020-03-11
31,37742154,56.0,130.0,12.0,canada,2020-03-12
32,37742154,68.0,186.0,12.0,canada,2020-03-13
33,37742154,85.0,235.0,12.0,canada,2020-03-14
34,37742154,99.0,329.0,12.0,canada,2020-03-15
35,37742154,130.0,426.0,15.0,canada,2020-03-16
36,37742154,186.0,578.0,20.0,canada,2020-03-17
37,37742154,235.0,706.0,21.0,canada,2020-03-19
38,37742154,329.0,850.0,23.0,canada,2020-03-20
39,37742154,426.0,1061.0,26.0,canada,2020-03-21
40,37742154,578.0,1295.0,33.0,canada,2020-03-22
41,37742154,706.0,1436.0,34.0,canada,2020-03-23
42,37742154,850.0,1747.0,344.0,canada,2020-03-24
43,37742154,1061.0,2654.0,138.0,canada,2020-03-25
44,37742154,1295.0,3188.0,221.0,canada,2020-03-26
45,37742154,1436.0,3776.0,267.0,canada,2020-03-27
46,37742154,1747.0,4348.0,409.0,canada,2020-03-28
47,37742154,2654.0,5199.0,456.0,canada,2020-03-29
48,37742154,3188.0,5682.0,638.0,canada,2020-03-30
49,37742154,3776.0,6266.0,1182.0,canada,2020-03-31
50,37742154,4348.0,7269.0,1343.0,canada,2020-04-01
51,37742154,5199.0,7881.0,1850.0,canada,2020-04-02
52,37742154,5682.0,9131.0,2152.0,canada,2020-04-03
53,37742154,6266.0,9981.0,2394.0,canada,2020-04-04
54,37742154,7269.0,11086.0,2826.0,canada,2020-04-05
55,37742154,7881.0,12290.0,3222.0,canada,2020-04-06
56,37742154,9131.0,12728.0,3939.0,canada,2020-04-07
57,37742154,9981.0,13488.0,4409.0,canada,2020-04-08
58,37742154,11086.0,14463.0,4975.0,canada,2020-04-09
59,37742154,12290.0,14945.0,5820.0,canada,2020-04-10
60,37742154,12728.0,15566.0,6582.0,canada,2020-04-11
61,37742154,13488.0,16237.0,7081.0,canada,2020-04-12
62,37742154,14463.0,16494.0,7889.0,canada,2020-04-13
63,109581078,0.0,0.0,3.0,philippines,2020-02-10
64,109581078,0.0,0.0,3.0,philippines,2020-02-11
65,109581078,0.0,0.0,3.0,philippines,2020-02-12
66,109581078,0.0,0.0,3.0,philippines,2020-02-13
67,109581078,0.0,0.0,3.0,philippines,2020-02-14
68,109581078,0.0,0.0,3.0,philippines,2020-02-15
69,109581078,0.0,0.0,3.0,philippines,2020-02-16
70,109581078,0.0,0.0,3.0,philippines,2020-02-17
71,109581078,0.0,0.0,3.0,philippines,2020-02-18
72,109581078,0.0,0.0,3.0,philippines,2020-02-19
73,109581078,0.0,0.0,3.0,philippines,2020-02-20
74,109581078,0.0,0.0,3.0,philippines,2020-02-21
75,109581078,0.0,0.0,3.0,philippines,2020-02-22
76,109581078,0.0,0.0,3.0,philippines,2020-02-23
77,109581078,0.0,0.0,3.0,philippines,2020-02-24
78,109581078,0.0,0.0,3.0,philippines,2020-02-25
